review_id,silver_labels,silver_scores
0,"[np.int64(87), np.int64(246), np.int64(502)]","[0.8163481099076115, 0.8537475036394826, 0.7413553583693191]"
1,"[np.int64(266), np.int64(422), np.int64(471)]","[0.7316324408609305, 0.6999999576766153, 0.7289655386955252]"
2,"[np.int64(27), np.int64(276), np.int64(381)]","[0.7042959513068436, 0.7018785739334896, 0.7317121960980654]"
3,"[np.int64(377), np.int64(465), np.int64(473)]","[0.699999966599692, 0.663834311196701, 0.7402523807774717]"
4,"[np.int64(32), np.int64(449), np.int64(504)]","[0.6695331557245708, 0.6775859183193751, 0.6695948307769537]"
5,"[np.int64(43), np.int64(335), np.int64(421)]","[0.7228941249536271, 0.6999999612091259, 0.654230650337973]"
6,"[np.int64(90), np.int64(158), np.int64(383)]","[0.6999999625800639, 0.6889322366246553, 0.6911213242981767]"
7,"[np.int64(79), np.int64(93), np.int64(380)]","[0.6446395542376562, 0.6439403252865717, 0.639780905435785]"
8,"[np.int64(274), np.int64(364), np.int64(470)]","[0.6487574826476918, 0.5924195783042707, 0.6436540254802294]"
9,"[np.int64(89), np.int64(279), np.int64(387)]","[0.6735159912622499, 0.6825586718442462, 0.6463561763882426]"
10,"[np.int64(172), np.int64(208), np.int64(424)]","[0.8205819534844458, 0.697526785102591, 0.6674244068099542]"
11,"[np.int64(346), np.int64(453), np.int64(501)]","[0.8229540089786334, 0.8220850197452685, 0.7947865049344323]"
12,"[np.int64(218), np.int64(219), np.int64(227)]","[0.6705937354710897, 0.6877739033698655, 0.6780805836343109]"
13,"[np.int64(65), np.int64(134), np.int64(242)]","[0.637811608143439, 0.6382341031131609, 0.7287864636683242]"
14,"[np.int64(66), np.int64(148), np.int64(200)]","[0.6206768548147009, 0.6794638591597849, 0.5904382687624148]"
15,"[np.int64(369), np.int64(468), np.int64(503)]","[0.7949243572323292, 0.6984321120136785, 0.6999999559387837]"
16,"[np.int64(60), np.int64(68), np.int64(377)]","[0.6575295884234642, 0.6578077710543426, 0.6999999620163576]"
17,"[np.int64(80), np.int64(442), np.int64(448)]","[0.7322611163644812, 0.8409386757385753, 0.8248224558950092]"
18,"[np.int64(25), np.int64(358), np.int64(470)]","[0.6187854378598306, 0.6208813230744011, 0.6719332250074036]"
19,"[np.int64(90), np.int64(249), np.int64(383)]","[0.6999999612103179, 0.679050790731881, 0.6796851434246264]"
